1 .- {1, 2, 3, 4, 5, 6, 7, 8, 9, 10}
2 .- {1, 2, 3, 4, 5, 6, 7, 8, 10, 9}
3 .- {1, 2, 3, 4, 5, 6, 7, 9, 8, 10}
4 .- {1, 2, 3, 4, 5, 6, 7, 9, 10, 8}
5 .- {1, 2, 3, 4, 5, 6, 7, 10, 8, 9}
6 .- {1, 2, 3, 4, 5, 6, 7, 10, 9, 8}
7 .- {1, 2, 3, 4, 5, 6, 8, 7, 9, 10}
8 .- {1, 2, 3, 4, 5, 6, 8, 7, 10, 9}
9 .- {1, 2, 3, 4, 5, 6, 8, 9, 7, 10}
10 .- {1, 2, 3, 4, 5, 6, 8, 9, 10, 7}
11 .- {1, 2, 3, 4, 5, 6, 8, 10, 7, 9}
12 .- {1, 2, 3, 4, 5, 6, 8, 10, 9, 7}
13 .- {1, 2, 3, 4, 5, 6, 9, 7, 8, 10}
14 .- {1, 2, 3, 4, 5, 6, 9, 7, 10, 8}
15 .- {1, 2, 3, 4, 5, 6, 9, 8, 7, 10}
16 .- {1, 2, 3, 4, 5, 6, 9, 8, 10, 7}
17 .- {1, 2, 3, 4, 5, 6, 9, 10, 7, 8}
18 .- {1, 2, 3, 4, 5, 6, 9, 10, 8, 7}
19 .- {1, 2, 3, 4, 5, 6, 10, 7, 8, 9}
20 .- {1, 2, 3, 4, 5, 6, 10, 7, 9, 8}
21 .- {1, 2, 3, 4, 5, 6, 10, 8, 7, 9}
22 .- {1, 2, 3, 4, 5, 6, 10, 8, 9, 7}
23 .- {1, 2, 3, 4, 5, 6, 10, 9, 7, 8}
24 .- {1, 2, 3, 4, 5, 6, 10, 9, 8, 7}
25 .- {1, 2, 3, 4, 5, 7, 6, 8, 9, 10}
26 .- {1, 2, 3, 4, 5, 7, 6, 8, 10, 9}
27 .- {1, 2, 3, 4, 5, 7, 6, 9, 8, 10}
28 .- {1, 2, 3, 4, 5, 7, 6, 9, 10, 8}
29 .- {1, 2, 3, 4, 5, 7, 6, 10, 8, 9}
30 .- {1, 2, 3, 4, 5, 7, 6, 10, 9, 8}
31 .- {1, 2, 3, 4, 5, 7, 8, 6, 9, 10}
32 .- {1, 2, 3, 4, 5, 7, 8, 6, 10, 9}
33 .- {1, 2, 3, 4, 5, 7, 8, 9, 6, 10}
34 .- {1, 2, 3, 4, 5, 7, 8, 9, 10, 6}
35 .- {1, 2, 3, 4, 5, 7, 8, 10, 6, 9}
36 .- {1, 2, 3, 4, 5, 7, 8, 10, 9, 6}
37 .- {1, 2, 3, 4, 5, 7, 9, 6, 8, 10}
38 .- {1, 2, 3, 4, 5, 7, 9, 6, 10, 8}
39 .- {1, 2, 3, 4, 5, 7, 9, 8, 6, 10}
40 .- {1, 2, 3, 4, 5, 7, 9, 8, 10, 6}
41 .- {1, 2, 3, 4, 5, 7, 9, 10, 6, 8}
42 .- {1, 2, 3, 4, 5, 7, 9, 10, 8, 6}
43 .- {1, 2, 3, 4, 5, 7, 10, 6, 8, 9}
44 .- {1, 2, 3, 4, 5, 7, 10, 6, 9, 8}
45 .- {1, 2, 3, 4, 5, 7, 10, 8, 6, 9}
46 .- {1, 2, 3, 4, 5, 7, 10, 8, 9, 6}
47 .- {1, 2, 3, 4, 5, 7, 10, 9, 6, 8}
48 .- {1, 2, 3, 4, 5, 7, 10, 9, 8, 6}
49 .- {1, 2, 3, 4, 5, 8, 6, 7, 9, 10}
50 .- {1, 2, 3, 4, 5, 8, 6, 7, 10, 9}
